,Names,Sizes,Names,Sizes,Diff,% Diff
53,gdas.t00z.updated.status.tm00.bufr_d,13689,gdas.t00z.updated.status.tm00.bufr_d,13689,0,0.0
54,gdas.t00z.satwnd.tm00.bufr_d,320398904,gdas.t00z.satwnd.tm00.bufr_d,320398904,0,0.0
55,gdas.t00z.subpfl.tm00.bufr_d,764688,gdas.t00z.subpfl.tm00.bufr_d,764688,0,0.0
56,gdas.t00z.crsfdb.tm00.bufr_d,258338872,gdas.t00z.crsfdb.tm00.bufr_d,258338872,0,0.0
57,gdas.t00z.adpupa.tm00.bufr_d,1849128,gdas.t00z.adpupa.tm00.bufr_d,1849128,0,0.0
58,PRCP_CU_GAUGE_V1.0GLB_0.125deg.lnx.20240720.RT_early,33212168,PRCP_CU_GAUGE_V1.0GLB_0.125deg.lnx.20240720.RT_early,33212168,0,0.0
59,gdas.t00z.esmhs.tm00.bufr_d,66248504,gdas.t00z.esmhs.tm00.bufr_d,66248504,0,0.0
60,gdas.t00z.ssmisu.tm00.bufr_d,58321800,gdas.t00z.ssmisu.tm00.bufr_d,58321800,0,0.0
61,gdas.t00z.rtgssthr.grb,15163284,gdas.t00z.rtgssthr.grb,15163284,0,0.0
62,gdas.t00z.esamua.tm00.bufr_d,15973816,gdas.t00z.esamua.tm00.bufr_d,15973816,0,0.0
63,gdas.t00z.gpsro.tm00.bufr_d,46728040,gdas.t00z.gpsro.tm00.bufr_d,46728040,0,0.0
64,gdas.t00z.avcsam.tm00.bufr_d,212490440,gdas.t00z.avcsam.tm00.bufr_d,212490440,0,0.0
65,gdas.t00z.seaice.5min.blend.grb,9331284,gdas.t00z.seaice.5min.blend.grb,9331284,0,0.0
66,gdas.t00z.NPR.SNWS.SP.S1200.MESH16.grb,2281514,gdas.t00z.NPR.SNWS.SP.S1200.MESH16.grb,2281514,0,0.0
67,gdas.t00z.crisf4.tm00.bufr_d,1495415616,gdas.t00z.crisf4.tm00.bufr_d,1495415616,0,0.0
68,gdas.t00z.airsev.tm00.bufr_d,0,gdas.t00z.airsev.tm00.bufr_d,0,0,
69,gdas.t00z.gsrcsr.tm00.bufr_d,154385744,gdas.t00z.gsrcsr.tm00.bufr_d,154385744,0,0.0
70,gdas.t00z.bathy.tm00.bufr_d,0,gdas.t00z.bathy.tm00.bufr_d,0,0,
71,gdas.t00z.ompsn8.tm00.bufr_d,6115208,gdas.t00z.ompsn8.tm00.bufr_d,6115208,0,0.0
72,gdas.t00z.NPR.SNWN.SP.S1200.MESH16.grb,2252792,gdas.t00z.NPR.SNWN.SP.S1200.MESH16.grb,2252792,0,0.0
73,gdas.t00z.rassda.tm00.bufr_d,59776,gdas.t00z.rassda.tm00.bufr_d,59776,0,0.0
74,gdas.t00z.ascatw.tm00.bufr_d,7604136,gdas.t00z.ascatw.tm00.bufr_d,7604136,0,0.0
