,Names,Sizes,Names,Sizes,Diff,% Diff
50,obsproc_version_for_t19z_rrfs_dump_post_run,44,obsproc_version_for_t19z_rrfs_dump_post_run,44,0,0.0
51,rrfs.t14z.adpsfc.tm00.bufr_d,1642576,rrfs.t14z.adpsfc.tm00.bufr_d,1642576,0,0.0
52,obsproc_version_for_t22z_rrfs_prep_run,24,obsproc_version_for_t22z_rrfs_prep_run,24,0,0.0
53,rrfs.t21z.sfcshp.tm00.bufr_d.nr,706192,rrfs.t21z.sfcshp.tm00.bufr_d.nr,706192,0,0.0
54,rrfs.t13z.sgesprep_pathname.tm00,75,rrfs.t13z.sgesprep_pathname.tm00,75,0,0.0
55,rrfs.t23z.cqc_events.tm00,0,rrfs.t23z.cqc_events.tm00,0,0,
56,rrfs.t01z.acqc_ord.tm00,259549,rrfs.t01z.acqc_ord.tm00,259549,0,0.0
57,rrfs.t21z.cqc_stnlst.tm00,0,rrfs.t21z.cqc_stnlst.tm00,0,0,
58,rrfs.t12z.vadwnd.tm00.bufr_d,633928,rrfs.t12z.vadwnd.tm00.bufr_d,633928,0,0.0
59,rrfs.t07z.gpsipw.tm00.bufr_d.nr,705208,rrfs.t07z.gpsipw.tm00.bufr_d.nr,705208,0,0.0
60,rrfs.t20z.adpupa.tm00.bufr_d,55920,rrfs.t20z.adpupa.tm00.bufr_d,55920,0,0.0
61,rrfs.t15z.acqc_inc.tm00,153108,rrfs.t15z.acqc_inc.tm00,153108,0,0.0
62,rrfs.t00z.proflr.tm00.bufr_d,63904,rrfs.t00z.proflr.tm00.bufr_d,63904,0,0.0
63,rrfs.t18z.prepbufr.tm00,41838616,rrfs.t18z.prepbufr.tm00,41838616,0,0.0
64,obsproc_version_for_t08z_rrfs_dump_run,124,obsproc_version_for_t08z_rrfs_dump_run,124,0,0.0
65,rrfs.t06z.prepbufr.tm00,40095376,rrfs.t06z.prepbufr.tm00,40095376,0,0.0
66,rrfs.t12z.cqcvad.birdqc.tm00,22462,rrfs.t12z.cqcvad.birdqc.tm00,22462,0,0.0
67,rrfs.t15z.sgesprep.tm00,6734124094,rrfs.t15z.sgesprep.tm00,6734124094,0,0.0
68,rrfs.t14z.imssnow.grib2,9816830,rrfs.t14z.imssnow.grib2,9816830,0,0.0
69,rrfs.t20z.1bmhs.tm00.bufr_d,3116872,rrfs.t20z.1bmhs.tm00.bufr_d,3116872,0,0.0
70,rrfs.t06z.esatms.tm00.bufr_d,15057440,rrfs.t06z.esatms.tm00.bufr_d,15057440,0,0.0
71,rrfs.t11z.esiasi.tm00.bufr_d,104045080,rrfs.t11z.esiasi.tm00.bufr_d,104045080,0,0.0
72,rrfs.t19z.vadwnd.tm00.bufr_d.listing,3462504,rrfs.t19z.vadwnd.tm00.bufr_d.listing,3462504,0,0.0
73,rrfs.t00z.acqc_log.tm00,25923202,rrfs.t00z.acqc_log.tm00,25923202,0,0.0
74,rrfs.t10z.snocvr.tm00.bufr_d,1175616,rrfs.t10z.snocvr.tm00.bufr_d,1175616,0,0.0
75,rrfs.t12z.acqc_ord.tm00,69503,rrfs.t12z.acqc_ord.tm00,69503,0,0.0
76,rrfs.t18z.aircft.tm00.bufr_d,2311264,rrfs.t18z.aircft.tm00.bufr_d,2311264,0,0.0
77,rrfs.t11z.proflr.tm00.bufr_d.listing,355584,rrfs.t11z.proflr.tm00.bufr_d.listing,355584,0,0.0
78,rrfs.t06z.msonet.tm00.bufr_d,24667728,rrfs.t06z.msonet.tm00.bufr_d,24667728,0,0.0
79,rrfs.t15z.saphir.tm00.bufr_d,0,rrfs.t15z.saphir.tm00.bufr_d,0,0,
80,rrfs.t01z.sevcsr.tm00.bufr_d,0,rrfs.t01z.sevcsr.tm00.bufr_d,0,0,
81,rrfs.t04z.cqc_sdm.tm00,0,rrfs.t04z.cqc_sdm.tm00,0,0,
82,rrfs.t19z.proflr.tm00.bufr_d.listing,373307,rrfs.t19z.proflr.tm00.bufr_d.listing,373307,0,0.0
83,rrfs.t22z.uprair.tm00.bufr_d,0,rrfs.t22z.uprair.tm00.bufr_d,0,0,
84,rrfs.t16z.bufr_dumplist.tm00,74435,rrfs.t16z.bufr_dumplist.tm00,74435,0,0.0
85,rrfs.t01z.prepbufr_pre-qc.tm00,57269296,rrfs.t01z.prepbufr_pre-qc.tm00,57269296,0,0.0
86,rrfs.t23z.airsev.tm00.bufr_d,0,rrfs.t23z.airsev.tm00.bufr_d,0,0,
87,rrfs.t19z.wndtwr.tm00.bufr_d,0,rrfs.t19z.wndtwr.tm00.bufr_d,0,0,
88,rrfs.t08z.proflr.tm00.bufr_d,60856,rrfs.t08z.proflr.tm00.bufr_d,60856,0,0.0
89,rrfs.t04z.status.tm00.bufr_d,50121,rrfs.t04z.status.tm00.bufr_d,50121,0,0.0
90,rrfs.t00z.ascatw.tm00.bufr_d.listing,4310878,rrfs.t00z.ascatw.tm00.bufr_d.listing,4310878,0,0.0
91,rrfs.t23z.satwnd.tm00.bufr_d,12745040,rrfs.t23z.satwnd.tm00.bufr_d,12745040,0,0.0
92,rrfs.t17z.gmi1cr.tm00.bufr_d,31367968,rrfs.t17z.gmi1cr.tm00.bufr_d,31367968,0,0.0
93,rrfs.t04z.ssmisu.tm00.bufr_d,1339232,rrfs.t04z.ssmisu.tm00.bufr_d,1339232,0,0.0
94,rrfs.t19z.crsfdb.tm00.bufr_d,107099952,rrfs.t19z.crsfdb.tm00.bufr_d,107099952,0,0.0
95,rrfs.t07z.gpsipw.tm00.bufr_d,113504,rrfs.t07z.gpsipw.tm00.bufr_d,113504,0,0.0
96,rrfs.t05z.cqc_stnlst.tm00,2844,rrfs.t05z.cqc_stnlst.tm00,2844,0,0.0
97,rrfs.t03z.prepbufr.tm00,44093672,rrfs.t03z.prepbufr.tm00,44093672,0,0.0
98,rrfs.t15z.mtiasi.tm00.bufr_d,3743000,rrfs.t15z.mtiasi.tm00.bufr_d,3743000,0,0.0
99,rrfs.t05z.sfcshp.tm00.bufr_d.listing,1361438,rrfs.t05z.sfcshp.tm00.bufr_d.listing,1361438,0,0.0
100,rrfs.t21z.gsrcsr.tm00.bufr_d,20577840,rrfs.t21z.gsrcsr.tm00.bufr_d,20577840,0,0.0
101,rrfs.t18z.amsr2.tm00.bufr_d,3558136,rrfs.t18z.amsr2.tm00.bufr_d,3558136,0,0.0
102,rrfs.t00z.aircft.tm00.bufr_d.nr,483456,rrfs.t00z.aircft.tm00.bufr_d.nr,483456,0,0.0
103,rrfs.t01z.adpupa.tm00.bufr_d,614864,rrfs.t01z.adpupa.tm00.bufr_d,614864,0,0.0
104,rrfs.t18z.sgesprep.tm00,6942732815,rrfs.t18z.sgesprep.tm00,6942732815,0,0.0
105,rrfs.t02z.msonet.tm00.bufr_d.listing,57833479,rrfs.t02z.msonet.tm00.bufr_d.listing,57833479,0,0.0
106,rrfs.t11z.prepbufr_pre-qc.tm00,44562392,rrfs.t11z.prepbufr_pre-qc.tm00,44562392,0,0.0
107,rrfs.t07z.proflr.tm00.bufr_d,60792,rrfs.t07z.proflr.tm00.bufr_d,60792,0,0.0
108,rrfs.t21z.prepbufr.tm00.nr,5483728,rrfs.t21z.prepbufr.tm00.nr,5483728,0,0.0
109,rrfs.t22z.acqc_inc.tm00,174799,rrfs.t22z.acqc_inc.tm00,174799,0,0.0
110,rrfs.t00z.1bhrs4.tm00.bufr_d,1581744,rrfs.t00z.1bhrs4.tm00.bufr_d,1581744,0,0.0
111,rrfs.t18z.adpupa.tm00.bufr_d,57136,rrfs.t18z.adpupa.tm00.bufr_d,57136,0,0.0
112,rrfs.t20z.aircft.tm00.bufr_d,2072384,rrfs.t20z.aircft.tm00.bufr_d,2072384,0,0.0
113,rrfs.t04z.cqc_stncnt.tm00,528,rrfs.t04z.cqc_stncnt.tm00,528,0,0.0
114,rrfs.t07z.acqc_stk.tm00,1428496,rrfs.t07z.acqc_stk.tm00,1428496,0,0.0
115,rrfs.t23z.iasidb.tm00.bufr_d,43689880,rrfs.t23z.iasidb.tm00.bufr_d,43689880,0,0.0
116,rrfs.t12z.sgesprep_pathname.tm00,75,rrfs.t12z.sgesprep_pathname.tm00,75,0,0.0
117,obsproc_version_for_t22z_rrfs_dump_post_run,44,obsproc_version_for_t22z_rrfs_dump_post_run,44,0,0.0
118,rrfs.t18z.saldrn.tm00.bufr_d,52696,rrfs.t18z.saldrn.tm00.bufr_d,52696,0,0.0
119,rrfs.t06z.rassda.tm00.bufr_d.listing,10461,rrfs.t06z.rassda.tm00.bufr_d.listing,10461,0,0.0
120,rrfs.t16z.acqc_inc.tm00,162063,rrfs.t16z.acqc_inc.tm00,162063,0,0.0
121,rrfs.t01z.proflr.tm00.bufr_d.listing,341566,rrfs.t01z.proflr.tm00.bufr_d.listing,341566,0,0.0
122,rrfs.t03z.eshrs3.tm00.bufr_d,2533608,rrfs.t03z.eshrs3.tm00.bufr_d,2533608,0,0.0
123,rrfs.t01z.bufr_dumplist.tm00,74435,rrfs.t01z.bufr_dumplist.tm00,74435,0,0.0
124,rrfs.t11z.acqc_sus.tm00,172793,rrfs.t11z.acqc_sus.tm00,172793,0,0.0
125,rrfs.t18z.esiasi.tm00.bufr_d,87974256,rrfs.t18z.esiasi.tm00.bufr_d,87974256,0,0.0
126,rrfs.t17z.eshrs3.tm00.bufr_d,1582488,rrfs.t17z.eshrs3.tm00.bufr_d,1582488,0,0.0
127,rrfs.t00z.prepbufr_pre-qc.tm00,81181104,rrfs.t00z.prepbufr_pre-qc.tm00,81181104,0,0.0
128,rrfs.t19z.aircar.tm00.bufr_d.nr,22760,rrfs.t19z.aircar.tm00.bufr_d.nr,22760,0,0.0
129,rrfs.t08z.sfcshp.tm00.bufr_d,779168,rrfs.t08z.sfcshp.tm00.bufr_d,779168,0,0.0
130,rrfs.t17z.satwnd.tm00.bufr_d,15103992,rrfs.t17z.satwnd.tm00.bufr_d,15103992,0,0.0
131,rrfs.t04z.ascatt.tm00.bufr_d,1183896,rrfs.t04z.ascatt.tm00.bufr_d,1183896,0,0.0
132,rrfs.t12z.gpsipw.tm00.bufr_d.listing,812471,rrfs.t12z.gpsipw.tm00.bufr_d.listing,812471,0,0.0
133,rrfs.t13z.esmhs.tm00.bufr_d,2416904,rrfs.t13z.esmhs.tm00.bufr_d,2416904,0,0.0
134,rrfs.t01z.acqc_sus.tm00,334581,rrfs.t01z.acqc_sus.tm00,334581,0,0.0
135,rrfs.t10z.saphir.tm00.bufr_d,0,rrfs.t10z.saphir.tm00.bufr_d,0,0,
136,rrfs.t19z.acqc_stk.tm00,3219099,rrfs.t19z.acqc_stk.tm00,3219099,0,0.0
137,rrfs.t13z.msone1.tm00.bufr_d,6139928,rrfs.t13z.msone1.tm00.bufr_d,6139928,0,0.0
138,rrfs.t15z.saphir.tm00.bufr_d.nr,0,rrfs.t15z.saphir.tm00.bufr_d.nr,0,0,
139,rrfs.t08z.rassda.tm00.bufr_d,33296,rrfs.t08z.rassda.tm00.bufr_d,33296,0,0.0
140,rrfs.t15z.cqc_stncnt.tm00,528,rrfs.t15z.cqc_stncnt.tm00,528,0,0.0
141,obsproc_version_for_t15z_rrfs_prep_post_run,24,obsproc_version_for_t15z_rrfs_prep_post_run,24,0,0.0
142,rrfs.t19z.acqc_merged_sorted.tm00,7949192,rrfs.t19z.acqc_merged_sorted.tm00,7949192,0,0.0
143,rrfs.t08z.saphir.tm00.bufr_d.nr,0,rrfs.t08z.saphir.tm00.bufr_d.nr,0,0,
144,rrfs.t03z.acqc_merged.prof_sorted.tm00,5449279,rrfs.t03z.acqc_merged.prof_sorted.tm00,5449279,0,0.0
145,rrfs.t05z.acqc_dup.tm00,961,rrfs.t05z.acqc_dup.tm00,961,0,0.0
146,rrfs.t02z.acqc_log.tm00,22887875,rrfs.t02z.acqc_log.tm00,22887875,0,0.0
147,rrfs.t22z.gpsipw.tm00.bufr_d.nr,610336,rrfs.t22z.gpsipw.tm00.bufr_d.nr,610336,0,0.0
148,rrfs.t13z.acqc_sus.tm00,250800,rrfs.t13z.acqc_sus.tm00,250800,0,0.0
149,rrfs.t19z.msonet.tm00.bufr_d.nr,35688,rrfs.t19z.msonet.tm00.bufr_d.nr,35688,0,0.0
150,rrfs.t03z.ssmisu.tm00.bufr_d,7578888,rrfs.t03z.ssmisu.tm00.bufr_d,7578888,0,0.0
151,rrfs.t22z.osbuv8.tm00.bufr_d,0,rrfs.t22z.osbuv8.tm00.bufr_d,0,0,
152,rrfs.t03z.adpsfc.tm00.bufr_d.listing,3827497,rrfs.t03z.adpsfc.tm00.bufr_d.listing,3827497,0,0.0
153,rrfs.t21z.gpsro.tm00.bufr_d.nr,1857392,rrfs.t21z.gpsro.tm00.bufr_d.nr,1857392,0,0.0
154,rrfs.t16z.aircft.tm00.bufr_d.nr,1006200,rrfs.t16z.aircft.tm00.bufr_d.nr,1006200,0,0.0
155,rrfs.t20z.esiasi.tm00.bufr_d,96924560,rrfs.t20z.esiasi.tm00.bufr_d,96924560,0,0.0
156,rrfs.t10z.acqc_sus.tm00,144933,rrfs.t10z.acqc_sus.tm00,144933,0,0.0
157,rrfs.t10z.rassda.tm00.bufr_d,33200,rrfs.t10z.rassda.tm00.bufr_d,33200,0,0.0
158,rrfs.t13z.status.tm00.bufr_d,49854,rrfs.t13z.status.tm00.bufr_d,49854,0,0.0
159,rrfs.t07z.cqc_events.tm00,0,rrfs.t07z.cqc_events.tm00,0,0,
160,rrfs.t05z.proflr.tm00.bufr_d.listing,347884,rrfs.t05z.proflr.tm00.bufr_d.listing,347884,0,0.0
161,rrfs.t11z.eshrs3.tm00.bufr_d,1390376,rrfs.t11z.eshrs3.tm00.bufr_d,1390376,0,0.0
162,rrfs.t17z.lgycld.tm00.bufr_d,59006968,rrfs.t17z.lgycld.tm00.bufr_d,59006968,0,0.0
163,rrfs.t18z.proflr.tm00.bufr_d.listing,368198,rrfs.t18z.proflr.tm00.bufr_d.listing,368198,0,0.0
164,rrfs.t20z.esamua.tm00.bufr_d,831136,rrfs.t20z.esamua.tm00.bufr_d,831136,0,0.0
165,rrfs.t05z.mtiasi.tm00.bufr_d,49479224,rrfs.t05z.mtiasi.tm00.bufr_d,49479224,0,0.0
166,rrfs.t07z.sfcshp.tm00.bufr_d.listing,1351414,rrfs.t07z.sfcshp.tm00.bufr_d.listing,1351414,0,0.0
167,rrfs.t17z.ascatw.tm00.bufr_d.listing,1525046,rrfs.t17z.ascatw.tm00.bufr_d.listing,1525046,0,0.0
168,rrfs.t12z.acqc_sus.tm00,254582,rrfs.t12z.acqc_sus.tm00,254582,0,0.0
169,rrfs.t07z.gmi1cr.tm00.bufr_d,26844184,rrfs.t07z.gmi1cr.tm00.bufr_d,26844184,0,0.0
170,rrfs.t14z.acqc_grc.tm00,7220,rrfs.t14z.acqc_grc.tm00,7220,0,0.0
171,rrfs.t03z.cqcvad.birdqc.tm00,20196,rrfs.t03z.cqcvad.birdqc.tm00,20196,0,0.0
172,rrfs.t15z.status.tm00.bufr_d,50027,rrfs.t15z.status.tm00.bufr_d,50027,0,0.0
173,rrfs.t10z.gpsro.tm00.bufr_d.nr,1721472,rrfs.t10z.gpsro.tm00.bufr_d.nr,1721472,0,0.0
174,rrfs.t16z.osbuv8.tm00.bufr_d,0,rrfs.t16z.osbuv8.tm00.bufr_d,0,0,
175,rrfs.t09z.prepbufr.acft_profiles.tm00,714464,rrfs.t09z.prepbufr.acft_profiles.tm00,714464,0,0.0
176,where_t09z_rrfs_prep_post_ran,45,where_t09z_rrfs_prep_post_ran,45,0,0.0
177,rrfs.t10z.gsrasr.tm00.bufr_d,61863232,rrfs.t10z.gsrasr.tm00.bufr_d,61863232,0,0.0
178,rrfs.t05z.acqc_ord.tm00,152089,rrfs.t05z.acqc_ord.tm00,152089,0,0.0
179,rrfs.t06z.esamua.tm00.bufr_d,702504,rrfs.t06z.esamua.tm00.bufr_d,702504,0,0.0
180,rrfs.t18z.imssnow.grib2,9816830,rrfs.t18z.imssnow.grib2,9816830,0,0.0
181,rrfs.t15z.ascatw.tm00.bufr_d.listing,168938,rrfs.t15z.ascatw.tm00.bufr_d.listing,168938,0,0.0
182,rrfs.t22z.cqc_sdm.tm00,0,rrfs.t22z.cqc_sdm.tm00,0,0,
183,rrfs.t05z.acqc_inv.tm00,23419,rrfs.t05z.acqc_inv.tm00,23419,0,0.0
184,rrfs.t04z.gpsipw.tm00.bufr_d.listing,523641,rrfs.t04z.gpsipw.tm00.bufr_d.listing,523641,0,0.0
185,rrfs.t06z.subpfl.tm00.bufr_d,62040,rrfs.t06z.subpfl.tm00.bufr_d,62040,0,0.0
186,rrfs.t02z.crisf4.tm00.bufr_d,97489880,rrfs.t02z.crisf4.tm00.bufr_d,97489880,0,0.0
187,rrfs.t09z.msonet.tm00.bufr_d.listing,56795257,rrfs.t09z.msonet.tm00.bufr_d.listing,56795257,0,0.0
188,rrfs.t09z.acqc_merged.prof_sorted.tm00,1842148,rrfs.t09z.acqc_merged.prof_sorted.tm00,1842148,0,0.0
189,rrfs.t16z.gpsro.tm00.bufr_d.nr,2069904,rrfs.t16z.gpsro.tm00.bufr_d.nr,2069904,0,0.0
190,rrfs.t18z.iasidb.tm00.bufr_d,52283032,rrfs.t18z.iasidb.tm00.bufr_d,52283032,0,0.0
191,rrfs.t18z.imssnow,19958468,rrfs.t18z.imssnow,19958468,0,0.0
192,rrfs.t14z.cqc_stnlst.tm00,2844,rrfs.t14z.cqc_stnlst.tm00,2844,0,0.0
193,rrfs.t23z.prepbufr.tm00,43340904,rrfs.t23z.prepbufr.tm00,43340904,0,0.0
194,where_t04z_rrfs_dump_ran,45,where_t04z_rrfs_dump_ran,45,0,0.0
